measurementID,eventID,measurementType,measurementValue,measurementUnit,measurementMethod,measurementDeterminedDate,measurementRemarks
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20100323 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20100323,abundance,9,number of individuals,direct count in quadrats of 50 x 50 cm,2010-03-23,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20100323 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20100323,abundance,21,number of individuals,direct count in quadrats of 50 x 50 cm,2010-03-23,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20100323 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20100323,abundance,8,number of individuals,direct count in quadrats of 50 x 50 cm,2010-03-23,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20100323 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20100323,abundance,16,number of individuals,direct count in quadrats of 50 x 50 cm,2010-03-23,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20110208 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20110208,abundance,20,number of individuals,direct count in quadrats of 50 x 50 cm,2011-02-08,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20110208 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20110208,abundance,30,number of individuals,direct count in quadrats of 50 x 50 cm,2011-02-08,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20110208 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20110208,abundance,16,number of individuals,direct count in quadrats of 50 x 50 cm,2011-02-08,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20110208 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20110208,abundance,21,number of individuals,direct count in quadrats of 50 x 50 cm,2011-02-08,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20120121 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20120121,abundance,17,number of individuals,direct count in quadrats of 50 x 50 cm,2012-01-21,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20120121 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20120121,abundance,23,number of individuals,direct count in quadrats of 50 x 50 cm,2012-01-21,https://vocabs.lter-europe.net/envthes/en/page/21541
